Year,NOC,region,Sport,Event,Medal
2008,NOR,Norway,Handball,Handball Women's Handball,Gold
1988,NLD,,Hockey,Hockey Women's Hockey,Bronze
1996,NLD,,Rowing,Rowing Men's Lightweight Double Sculls,Silver
1996,NOR,Norway,Football,Football Women's Football,Bronze
2016,ITA,Italy,Rowing,Rowing Men's Coxless Pairs,Bronze
2008,ESP,Spain,Fencing,"Fencing Men's epee, Individual",Bronze
2016,AZE,Azerbaijan,Taekwondo,Taekwondo Women's Flyweight,Bronze
2008,RUS,Russia,Athletics,Athletics Women's Javelin Throw,Silver
2008,BLR,Belarus,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2008,FRA,France,Handball,Handball Men's Handball,Gold
2012,FRA,France,Handball,Handball Men's Handball,Gold
2016,FRA,France,Handball,Handball Men's Handball,Silver
2000,CMR,Cameroon,Football,Football Men's Football,Gold
1996,ESP,Spain,Water Polo,Water Polo Men's Water Polo,Gold
2004,USA,USA,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1980,ESP,Spain,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
1984,ESP,Spain,Athletics,"Athletics Men's 1,500 metres",Bronze
2004,RUS,Russia,Cycling,Cycling Women's Sprint,Silver
1992,HUN,Hungary,Fencing,"Fencing Men's Sabre, Team",Silver
1988,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold
1996,ITA,Italy,Rowing,Rowing Men's Double Sculls,Gold
2000,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Gold
1984,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Gold
1988,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Gold
1992,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Silver
2008,AUS,Australia,Hockey,Hockey Men's Hockey,Bronze
2008,USA,USA,Softball,Softball Women's Softball,Silver
2004,USA,USA,Taekwondo,Taekwondo Women's Featherweight,Silver
2016,IRN,,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
1984,CAN,Canada,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1960,PAK,Pakistan,Hockey,Hockey Men's Hockey,Gold
1964,PAK,Pakistan,Hockey,Hockey Men's Hockey,Silver
1972,RUS,Russia,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2000,UZB,Uzbekistan,Boxing,Boxing Men's Light-Welterweight,Gold
1996,AZE,Azerbaijan,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
2000,AZE,Azerbaijan,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
2000,USA,USA,Basketball,Basketball Men's Basketball,Gold
2008,TJK,Tajikistan,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
1992,EUN,Russia,Athletics,Athletics Men's Hammer Throw,Gold
1992,ETH,Ethiopia,Athletics,"Athletics Men's 10,000 metres",Bronze
1972,GDR,Germany,Gymnastics,Gymnastics Women's Team All-Around,Silver
2012,CAN,Canada,Diving,Diving Women's Synchronized Springboard,Bronze
1992,ESP,Spain,Football,Football Men's Football,Gold
2000,ETH,Ethiopia,Athletics,Athletics Men's Marathon,Gold
2000,USA,USA,Baseball,Baseball Men's Baseball,Gold
2008,TUR,Turkey,Athletics,"Athletics Women's 5,000 metres",Silver
1980,BGR,,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
2012,RUS,Russia,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
2012,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Silver
2016,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Silver
2016,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Silver
2016,RUS,Russia,Gymnastics,Gymnastics Men's Rings,Bronze
1972,RUS,Russia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1972,RUS,Russia,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
2016,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
2012,EGY,Egypt,Fencing,"Fencing Men's Foil, Individual",Silver
1988,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
1988,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
1992,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1980,GBR,UK,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
2004,SWE,Sweden,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
2004,RUS,Russia,Volleyball,Volleyball Men's Volleyball,Bronze
1964,RUS,Russia,Volleyball,Volleyball Women's Volleyball,Silver
2016,ESP,Spain,Basketball,Basketball Men's Basketball,Bronze
2008,RUS,Russia,Basketball,Basketball Women's Basketball,Bronze
1980,RUS,Russia,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
2004,FRA,France,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
2008,FRA,France,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
2016,JOR,Jordan,Taekwondo,Taekwondo Men's Featherweight,Gold
1964,JPN,Japan,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1980,RUS,Russia,Fencing,"Fencing Men's epee, Team",Bronze
1980,RUS,Russia,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2008,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1992,PRI,,Boxing,Boxing Men's Welterweight,Bronze
1984,MEX,Mexico,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1992,GHA,Ghana,Football,Football Men's Football,Bronze
1984,CHE,,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1988,MAR,Morocco,Boxing,Boxing Men's Featherweight,Bronze
1992,MAR,Morocco,Boxing,Boxing Men's Bantamweight,Bronze
2012,NLD,,Rowing,Rowing Women's Coxed Eights,Bronze
2016,NLD,,Rowing,Rowing Women's Quadruple Sculls,Silver
1976,NZL,New Zealand,Hockey,Hockey Men's Hockey,Gold
2008,ARG,Argentina,Football,Football Men's Football,Gold
2008,CUB,Cuba,Boxing,Boxing Men's Heavyweight,Bronze
1980,POL,Poland,Boxing,Boxing Men's Lightweight,Bronze
1976,TCH,Czech Republic,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
1992,POL,Poland,Football,Football Men's Football,Silver
1980,GBR,UK,Judo,Judo Men's Lightweight,Silver
1984,GBR,UK,Judo,Judo Men's Half-Middleweight,Silver
2012,GBR,UK,Boxing,Boxing Women's Flyweight,Gold
2016,GBR,UK,Boxing,Boxing Women's Flyweight,Gold
2016,USA,USA,Volleyball,Volleyball Women's Volleyball,Bronze
2008,NZL,New Zealand,Athletics,Athletics Women's Shot Put,Gold
2012,NZL,New Zealand,Athletics,Athletics Women's Shot Put,Gold
2016,NZL,New Zealand,Athletics,Athletics Women's Shot Put,Silver
2012,DEU,,Rowing,Rowing Men's Coxed Eights,Gold
1960,POL,Poland,Boxing,Boxing Men's Featherweight,Silver
2008,NGA,,Football,Football Men's Football,Silver
1984,BRA,Brazil,Football,Football Men's Football,Silver
1988,BRA,Brazil,Football,Football Men's Football,Silver
1992,NGA,,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
2012,BRA,Brazil,Volleyball,Volleyball Women's Volleyball,Gold
1992,FRA,France,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
1996,FRA,France,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
1996,USA,USA,Athletics,Athletics Men's 400 metres Hurdles,Gold
1984,BRA,Brazil,Sailing,Sailing Mixed Three Person Keelboat,Silver
1960,DEU,,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
2008,GBR,UK,Swimming,Swimming Women's 400 metres Freestyle,Gold
2008,GBR,UK,Swimming,Swimming Women's 800 metres Freestyle,Gold
2012,GBR,UK,Swimming,Swimming Women's 400 metres Freestyle,Bronze
2012,GBR,UK,Swimming,Swimming Women's 800 metres Freestyle,Bronze
2000,LTU,Lithuania,Basketball,Basketball Men's Basketball,Bronze
2008,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2012,USA,USA,Swimming,Swimming Men's 100 metres Freestyle,Gold
2012,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
2012,USA,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
2016,USA,USA,Swimming,Swimming Men's 50 metres Freestyle,Bronze
2016,USA,USA,Swimming,Swimming Men's 100 metres Freestyle,Bronze
2016,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2016,USA,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1996,BRA,Brazil,Basketball,Basketball Women's Basketball,Silver
2000,BRA,Brazil,Basketball,Basketball Women's Basketball,Bronze
1996,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1964,DEU,,Rowing,Rowing Men's Coxed Eights,Silver
2012,RUS,Russia,Gymnastics,Gymnastics Women's Team All-Around,Silver
1996,NGA,,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1976,ROU,Romania,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
2016,ZAF,,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1984,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Gold
1984,ROU,Romania,Gymnastics,Gymnastics Women's Horse Vault,Bronze
2004,ITA,Italy,Rowing,Rowing Men's Coxless Fours,Bronze
2008,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Silver
1996,USA,USA,Tennis,Tennis Men's Singles,Gold
2016,FRA,France,Judo,Judo Women's Half-Middleweight,Silver
1960,RUS,Russia,Water Polo,Water Polo Men's Water Polo,Silver
1964,RUS,Russia,Water Polo,Water Polo Men's Water Polo,Bronze
2008,NLD,,Hockey,Hockey Women's Hockey,Gold
2012,NLD,,Hockey,Hockey Women's Hockey,Gold
2012,FRA,France,Swimming,Swimming Men's 200 metres Freestyle,Gold
2012,FRA,France,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2012,FRA,France,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1964,HUN,Hungary,Fencing,"Fencing Women's Foil, Team",Gold
2000,CUB,Cuba,Volleyball,Volleyball Women's Volleyball,Gold
1980,CUB,Cuba,Boxing,Boxing Men's Light-Welterweight,Bronze
2012,ESP,Spain,Handball,Handball Women's Handball,Bronze
2016,ESP,Spain,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1992,CUB,Cuba,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2016,IDN,,Weightlifting,Weightlifting Women's Flyweight,Silver
2008,USA,USA,Volleyball,Volleyball Women's Volleyball,Silver
2004,DEU,,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2016,DEU,,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2016,IDN,,Badminton,Badminton Mixed Doubles,Gold
2000,DEU,,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
1992,USA,USA,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
1992,USA,USA,Swimming,Swimming Women's 100 metres Butterfly,Silver
1992,USA,USA,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
1992,PAK,Pakistan,Hockey,Hockey Men's Hockey,Bronze
1968,PAK,Pakistan,Hockey,Hockey Men's Hockey,Gold
1984,PAK,Pakistan,Hockey,Hockey Men's Hockey,Gold
1972,PAK,Pakistan,Hockey,Hockey Men's Hockey,Silver
1964,DEU,,Sailing,Sailing Mixed Three Person Keelboat,Silver
1976,GDR,Germany,Rowing,Rowing Women's Coxed Eights,Gold
2004,USA,USA,Rowing,Rowing Men's Coxed Eights,Gold
2012,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Silver
2016,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Bronze
2000,ARG,Argentina,Hockey,Hockey Women's Hockey,Silver
2004,ARG,Argentina,Hockey,Hockey Women's Hockey,Bronze
2008,ARG,Argentina,Hockey,Hockey Women's Hockey,Bronze
2016,ITA,Italy,Water Polo,Water Polo Women's Water Polo,Silver
2012,DEU,,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
1960,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Gold
1960,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Gold
1992,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Bronze
2004,JPN,Japan,Baseball,Baseball Men's Baseball,Bronze
1996,GBR,UK,Sailing,Sailing Mixed One Person Dinghy,Silver
2000,GBR,UK,Sailing,Sailing Mixed One Person Dinghy,Gold
2004,GBR,UK,Sailing,Sailing Men's One Person Dinghy,Gold
2008,GBR,UK,Sailing,Sailing Mixed One Person Dinghy,Gold
2012,GBR,UK,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
1968,GBR,UK,Sailing,Sailing Mixed 5.5 metres,Bronze
1992,AUS,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1996,AUS,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
2000,AUS,Australia,Cycling,Cycling Men's Madison,Gold
2008,UKR,Ukraine,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
2000,GRC,,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
2016,NGA,,Football,Football Men's Football,Bronze
1992,CUB,Cuba,Baseball,Baseball Men's Baseball,Gold
1996,CUB,Cuba,Baseball,Baseball Men's Baseball,Gold
2000,CUB,Cuba,Baseball,Baseball Men's Baseball,Silver
2016,CAN,Canada,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1996,NGA,,Athletics,Athletics Women's Long Jump,Gold
1984,GBR,UK,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1992,GBR,UK,Athletics,Athletics Men's 400 metres Hurdles,Bronze
1992,GBR,UK,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1984,JPN,Japan,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1992,JPN,Japan,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
1964,TUR,Turkey,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
1972,TUR,Turkey,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1996,USA,USA,Football,Football Women's Football,Gold
2016,TUR,Turkey,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1980,RUS,Russia,Volleyball,Volleyball Women's Volleyball,Gold
2016,UZB,Uzbekistan,Boxing,Boxing Men's Bantamweight,Bronze
2016,RUS,Russia,Fencing,"Fencing Men's Foil, Team",Gold
2008,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
1964,BGR,,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
1980,RUS,Russia,Hockey,Hockey Women's Hockey,Bronze
1960,RUS,Russia,Rowing,Rowing Men's Coxless Fours,Bronze
1972,UGA,Uganda,Athletics,Athletics Men's 400 metres Hurdles,Gold
1972,RUS,Russia,Water Polo,Water Polo Men's Water Polo,Gold
1980,RUS,Russia,Water Polo,Water Polo Men's Water Polo,Gold
2016,USA,USA,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2012,USA,USA,Volleyball,Volleyball Women's Volleyball,Silver
2004,RUS,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
2008,RUS,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
2000,RUS,Russia,Water Polo,Water Polo Women's Water Polo,Bronze
1992,EUN,Russia,Weightlifting,Weightlifting Men's Heavyweight II,Silver
2016,USA,USA,Fencing,"Fencing Women's Sabre, Team",Bronze
1976,RUS,Russia,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
1976,RUS,Russia,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1980,RUS,Russia,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
1996,RUS,Russia,Rowing,Rowing Men's Coxed Eights,Bronze
1980,RUS,Russia,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1976,RUS,Russia,Sailing,Sailing Mixed Two Person Keelboat,Silver
2004,SYR,Syria,Boxing,Boxing Men's Heavyweight,Bronze
2012,QAT,Qatar,Shooting,Shooting Men's Skeet,Bronze
2000,KWT,,Shooting,Shooting Men's Double Trap,Bronze
2012,KWT,,Shooting,Shooting Men's Trap,Bronze
2016,IOA,Individual Olympic Athletes,Shooting,Shooting Men's Double Trap,Gold
2012,SAU,,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2000,SAU,,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
2004,ARE,,Shooting,Shooting Men's Double Trap,Gold
2016,IOA,Individual Olympic Athletes,Shooting,Shooting Men's Skeet,Bronze
2000,SAU,,Athletics,Athletics Men's 400 metres Hurdles,Silver
2012,ESP,Spain,Sailing,Sailing Women's Windsurfer,Gold
1964,RUS,Russia,Basketball,Basketball Men's Basketball,Silver
1972,RUS,Russia,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
1992,HRV,,Basketball,Basketball Men's Basketball,Silver
1968,ITA,Italy,Sailing,Sailing Mixed One Person Dinghy,Bronze
2012,RUS,Russia,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
2000,ESP,Spain,Football,Football Men's Football,Silver
1984,DEU,,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1976,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Silver
1960,HUN,Hungary,Football,Football Men's Football,Bronze
1968,ITA,Italy,Rowing,Rowing Men's Coxless Fours,Bronze
2008,RUS,Russia,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
1976,SWE,Sweden,Sailing,Sailing Mixed Two Person Keelboat,Gold
1960,RUS,Russia,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
1996,BRA,Brazil,Football,Football Men's Football,Bronze
1976,CUB,Cuba,Boxing,Boxing Men's Light-Welterweight,Silver
1980,CUB,Cuba,Boxing,Boxing Men's Welterweight,Gold
2008,ESP,Spain,Hockey,Hockey Men's Hockey,Silver
2012,NZL,New Zealand,Sailing,Sailing Women's Two Person Dinghy,Gold
2016,NZL,New Zealand,Sailing,Sailing Women's Two Person Dinghy,Silver
2000,LTU,Lithuania,Athletics,Athletics Men's Discus Throw,Gold
2004,LTU,Lithuania,Athletics,Athletics Men's Discus Throw,Gold
2008,LTU,Lithuania,Athletics,Athletics Men's Discus Throw,Bronze
1980,BGR,,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
1976,RUS,Russia,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
1980,RUS,Russia,Rowing,Rowing Women's Double Sculls,Gold
2012,ARM,Armenia,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
2016,ARM,Armenia,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
1972,RUS,Russia,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
1976,RUS,Russia,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
1964,RUS,Russia,Diving,Diving Women's Platform,Bronze
2012,SRB,Serbia,Water Polo,Water Polo Men's Water Polo,Bronze
2016,SRB,Serbia,Water Polo,Water Polo Men's Water Polo,Gold
2012,BRA,Brazil,Football,Football Men's Football,Silver
1996,CAN,Canada,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
1960,GBR,UK,Fencing,"Fencing Men's epee, Team",Silver
2000,CAN,Canada,Rowing,Rowing Women's Coxed Eights,Bronze
1984,FRA,France,Judo,Judo Men's Half-Lightweight,Bronze
1988,FRA,France,Judo,Judo Men's Lightweight,Gold
2008,BRA,Brazil,Football,Football Men's Football,Bronze
1980,ROU,Romania,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
1972,ROU,Romania,Boxing,Boxing Men's Heavyweight,Silver
1976,RUS,Russia,Diving,Diving Men's Platform,Bronze
1980,RUS,Russia,Diving,Diving Men's Platform,Silver
2000,RUS,Russia,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
2016,NER,,Taekwondo,Taekwondo Men's Heavyweight,Silver
1976,RUS,Russia,Athletics,Athletics Women's Long Jump,Bronze
1984,USA,USA,Basketball,Basketball Men's Basketball,Gold
1960,BRA,Brazil,Basketball,Basketball Men's Basketball,Bronze
2012,SWE,Sweden,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2016,USA,USA,Athletics,Athletics Women's 100 metres Hurdles,Silver
1964,IND,India,Hockey,Hockey Men's Hockey,Gold
1972,IRN,,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
2000,RUS,Russia,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
2004,RUS,Russia,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
2012,HRV,,Handball,Handball Men's Handball,Bronze
2004,BRA,Brazil,Football,Football Women's Football,Silver
2004,RUS,Russia,Shooting,Shooting Men's Trap,Gold
2008,RUS,Russia,Shooting,Shooting Men's Trap,Bronze
2012,BRA,Brazil,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
2016,BRA,Brazil,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
2004,NGA,,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2008,RUS,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
2016,IRN,,Taekwondo,Taekwondo Women's Featherweight,Bronze
2000,DZA,,Boxing,Boxing Men's Light-Welterweight,Bronze
1984,GBR,UK,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
1984,GBR,UK,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
1988,GBR,UK,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
1972,USA,USA,Sailing,Sailing Mixed Three Person Keelboat,Gold
1996,USA,USA,Baseball,Baseball Men's Baseball,Bronze
2004,AUT,Austria,Triathlon,Triathlon Women's Olympic Distance,Gold
2000,AUS,Australia,Hockey,Hockey Women's Hockey,Gold
2016,JAM,Jamaica,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
2008,USA,USA,Rowing,Rowing Men's Coxed Eights,Bronze
2000,AUS,Australia,Softball,Softball Women's Softball,Bronze
2004,AUS,Australia,Softball,Softball Women's Softball,Silver
2008,AUS,Australia,Softball,Softball Women's Softball,Bronze
2000,GBR,UK,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
2012,TTO,Trinidad,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1968,GBR,UK,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
1968,GBR,UK,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
1964,USA,USA,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
2004,ITA,Italy,Water Polo,Water Polo Women's Water Polo,Gold
1996,ARG,Argentina,Football,Football Men's Football,Silver
2012,RUS,Russia,Boxing,Boxing Men's Flyweight,Bronze
2000,NGA,,Athletics,Athletics Women's 100 metres Hurdles,Silver
2000,SWE,Sweden,Swimming,Swimming Women's 50 metres Freestyle,Silver
2000,SWE,Sweden,Swimming,Swimming Women's 100 metres Freestyle,Silver
2000,SWE,Sweden,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1988,RUS,Russia,Fencing,"Fencing Men's Sabre, Team",Silver
2012,NOR,Norway,Handball,Handball Women's Handball,Gold
2016,NOR,Norway,Handball,Handball Women's Handball,Bronze
2008,DEU,,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
1992,DEU,,Rowing,Rowing Women's Coxless Pairs,Silver
2000,CHL,,Football,Football Men's Football,Bronze
1972,CUB,Cuba,Basketball,Basketball Men's Basketball,Bronze
2012,CUB,Cuba,Boxing,Boxing Men's Bantamweight,Bronze
2016,CUB,Cuba,Boxing,Boxing Men's Lightweight,Bronze
2012,COL,Colombia,Judo,Judo Women's Middleweight,Bronze
2016,COL,Colombia,Judo,Judo Women's Middleweight,Silver
2012,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Silver
2004,EGY,Egypt,Boxing,Boxing Men's Super-Heavyweight,Silver
1980,RUS,Russia,Fencing,"Fencing Men's Sabre, Team",Gold
2000,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Bronze
1996,ROU,Romania,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
1996,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1996,ROU,Romania,Gymnastics,Gymnastics Women's Floor Exercise,Silver
1996,ROU,Romania,Gymnastics,Gymnastics Women's Horse Vault,Gold
2000,ROU,Romania,Gymnastics,Gymnastics Women's Individual All-Around,Gold
2000,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Gold
2000,ROU,Romania,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
2004,ITA,Italy,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
1972,GHA,Ghana,Boxing,Boxing Men's Middleweight,Bronze
1996,ESP,Spain,Hockey,Hockey Men's Hockey,Silver
1996,FRA,France,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
1996,FRA,France,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
1980,ESP,Spain,Hockey,Hockey Men's Hockey,Silver
1960,ESP,Spain,Hockey,Hockey Men's Hockey,Bronze
2000,ARG,Argentina,Sailing,Sailing Women's One Person Dinghy,Bronze
1984,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Silver
1992,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Gold
1964,BRA,Brazil,Basketball,Basketball Men's Basketball,Bronze
1960,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Gold
2000,USA,USA,Softball,Softball Women's Softball,Gold
1964,HUN,Hungary,Water Polo,Water Polo Men's Water Polo,Gold
1972,GDR,Germany,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
1964,USA,USA,Rowing,Rowing Men's Coxed Eights,Gold
1976,DEU,,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
1996,NGA,,Football,Football Men's Football,Gold
1964,AUS,Australia,Athletics,Athletics Women's 400 metres,Bronze
2012,BWA,,Athletics,Athletics Men's 800 metres,Silver
2008,ARM,Armenia,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
1988,GDR,Germany,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
2016,TUN,Tunisia,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
1976,CAN,Canada,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1968,NOR,Norway,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
1972,NOR,Norway,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
2016,KOR,South Korea,Judo,Judo Men's Half-Lightweight,Silver
1984,KOR,South Korea,Judo,Judo Men's Lightweight,Gold
1988,KOR,South Korea,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
1992,KOR,South Korea,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
1988,KOR,South Korea,Table Tennis,Table Tennis Men's Doubles,Bronze
2008,KOR,South Korea,Handball,Handball Women's Handball,Bronze
2008,PRK,North Korea,Judo,Judo Women's Half-Lightweight,Silver
2012,PRK,North Korea,Judo,Judo Women's Half-Lightweight,Gold
